"","X","Page","ID_Husband","Husband","Husband_Ar","H_Branch","H_Nasab_1","H_Nasab_2","H_Nasab_3","H_Nasab_4","H_Nasab_5","H_Nasab_6","End_Date_AH","End_Date_CE","Generation","ID_Wife","Wife","Wife_Ar","W_Tribe","W_Branch","W_Nasab_1","W_Nasab_2","W_Nasab_3","W_Nasab_4","W_Nasab_5","W_Nasab_6","W_Nasab_7","W_Nasab_8","W_Nasab_9","W_Husband_ID","W_Generation","ID_Child","Child","Child_Ar","Child_Generation","C_Father_ID","C_Mother_ID"
"1",235,353,"AKM_0219","Muhammad","محمد بن عمر بن محمد بن عمر بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","Umar","Muhammad","Umar","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","251","865",7,"AKM_1164","Ulayya","علية بنت الحسين بن عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب","Quaysh","Husaynid","Husayn","Isa","Zayd","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,"AKM_0219",7,"AKM_0220","Ali","علي بن محمد بن عمر بن محمد بن عمر بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",8,"AKM_0219","AKM_1164"
"2",236,353,"AKM_0148","Zayd","زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,NA,4,"AKM_1165_UW","Umm_Walad","أم ولد",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0148",NA,"AKM_0221","Husayn","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",5,"AKM_0148","AKM_1165_UW"
"3",237,354,"AKM_0148","Zayd","زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM2","Abu_Talib","Abd_alMuttalib",NA,NA,NA,4,"AKM_1165_UW","Umm_Walad","أم ولد",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0148",NA,"AKM_0222","Isa","عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",5,"AKM_0148","AKM_1165_UW"
"4",238,354,"AKM_0148","Zayd","زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,NA,4,"AKM_1165_UW","Umm_Walad","أم ولد",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0148",NA,"AKM_0223","Muhammad","محمد بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",5,"AKM_0148","AKM_1165_UW"
"5",239,354,"AKM_0148","Zayd","زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,NA,4,"AKM_1166","Rayta","ريطة بنت أبي هشام عبد الله بن محمد بن علي بن أبي طالب","Quraysh","Alid","Abdallah","Muhammad","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,NA,NA,"AKM_0148",4,"AKM_0224","Yahya","يحيى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",5,"AKM_0148","AKM_1166"
"6",240,354,"AKM_0221","Husayn","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","Zayd","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,5,"AKM_1167","Khadija","خديجة بنت عمر بن علي بن الحسين بن علي بن أبي طالب","Quraysh","Husaynid","Umar","Umar","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,"AKM_0221",6,"AKM_0225","Yahya","يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",6,"AKM_0221","AKM_1167"
"7",241,355,"AKM_0221","Husayn","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","Zayd","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,5,"AKM_1168_UW","Umm_Walad","أم ولد شتى",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0221",NA,"AKM_0226","Ali","علي بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",6,"AKM_0221","AKM_1168_UW"
"8",242,355,"AKM_0221","Husayn","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","Zayd","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,5,"AKM_1169_UW","Umm_Walad","أم ولد شتى",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0221",NA,"AKM_0227","Muhammad","محمد بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",6,"AKM_0221","AKM_1169_UW"
"9",243,355,"AKM_0221","Husayn","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","Zayd","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,5,"AKM_1170_UW","Umm_Walad","أم ولد شتى",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0221",NA,"AKM_0228","AbdAllah","عبد الله بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",6,"AKM_0221","AKM_1170_UW"
"10",244,355,"AKM_0221","Husayn","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب","Husaynid","Zayd","AKM_0144_IMAM4","AKM_0003_IMAM3","AKM_0001_IMAM1","Abu_Talib","Abd_alMuttalib",NA,NA,5,"AKM_1171_UW","Umm_Walad","أم ولد شتى",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKM_0221",NA,"AKM_0229","Qasim","القاسم بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",6,"AKM_0221","AKM_1171_UW"
