"","from","to","weight"
"1","AKM_0219","AKM_0220",1
"2","AKM_0148","AKM_0221",1
"3","AKM_0148","AKM_0222",1
"4","AKM_0148","AKM_0223",1
"5","AKM_0148","AKM_0224",1
"6","AKM_0221","AKM_0225",1
"7","AKM_0221","AKM_0226",1
"8","AKM_0221","AKM_0227",1
"9","AKM_0221","AKM_0228",1
"10","AKM_0221","AKM_0229",1
"11","AKM_0221","AKM_0230",1
"12","AKM_0225","AKM_0231",1
"13","AKM_0225","AKM_0232",1
"14","AKM_0225","AKM_0233",1
"15","AKM_0225","AKM_0234",1
"16","AKM_0225","AKM_0235",1
"17","AKM_0225","AKM_0236",1
"18","AKM_0225","AKM_0237",1
"19","AKM_0225","AKM_0238",1
"21","AKM_0231","AKM_0239",1
"22","AKM_0232","AKM_0240",1
"23","AKM_0232","AKM_0241",1
"24","AKM_0232","AKM_0242",1
"25","AKM_0233","AKM_0243",1
"26","AKM_0234","AKM_0244",1
"27","AKM_0234","AKM_0245",1
"28","AKM_0234","AKM_0246",1
"29","AKM_0235","AKM_0247",1
"30","AKM_0235","AKM_0248",1
"31","AKM_0222","AKM_0249",1
"34","AKM_0235","AKM_0250",1
"35","AKM_0235","AKM_0251",1
"36","AKM_0236","AKM_0254",1
"37","AKM_0236","AKM_0255",1
"38","AKM_0236","AKM_0256",1
"39","AKM_0237","AKM_0257",1
"40","AKM_0237","AKM_0258",1
"41","AKM_0239","AKM_0259",1
"42","AKM_0239","AKM_0260",1
"43","AKM_0238","AKM_0261",1
"44","AKM_0226","AKM_0262",1
"45","AKM_0226","AKM_0263",1
"46","AKM_0262","AKM_0264",1
"47","AKM_0262","AKM_0265",1
"48","AKM_0262","AKM_0266",1
"49","AKM_0263","AKM_0267",1
"50","AKM_0263","AKM_0268",1
"51","AKM_0263","AKM_0269",1
"52","AKM_0227","AKM_0270",1
"54","AKM_0228","AKM_1199",1
"55","AKM_0228","AKM_0271",1
"56","AKM_0229","AKM_0272",1
"57","AKM_0229","AKM_0273",1
"58","AKM_0230","AKM_0274",1
"59","AKM_0230","AKM_0275",1
"60","AKM_0230","AKM_0276",1
"61","AKM_0222","AKM_0277",1
"62","AKM_0222","AKM_0278",1
"63","AKM_0222","AKM_0279",1
"64","AKM_0222","AKM_0280",1
"65","AKM_0277","AKM_0281",1
"66","AKM_0277","AKM_0282",1
"67","AKM_0277","AKM_0283",1
"68","AKM_0277","AKM_0284",1
"70","AKM_0278","AKM_0285",1
"71","AKM_0249","AKM_0286",1
"73","AKM_0286","AKM_0287",1
"74","AKM_0287","AKM_0288",1
"75","AKM_0287","AKM_0289",1
"76","AKM_0287","AKM_0290",1
"77","AKM_0287","AKM_0291",1
"78","AKM_0287","AKM_0292",1
"NA",NA,NA,1
"NA.1",NA,NA,1
"NA.2",NA,NA,1
"NA.3",NA,NA,1
"NA.4",NA,NA,1
"NA.5",NA,NA,1
"NA.6",NA,NA,1
"NA.7",NA,NA,1
"NA.8",NA,NA,1
"NA.9",NA,NA,1
"157","AKM_1164","AKM_0220",1
"158","AKM_1165_UW","AKM_0221",1
"159","AKM_1165_UW","AKM_0222",1
"160","AKM_1165_UW","AKM_0223",1
"161","AKM_1166","AKM_0224",1
"162","AKM_1167","AKM_0225",1
"163","AKM_1168_UW","AKM_0226",1
"164","AKM_1169_UW","AKM_0227",1
"165","AKM_1170_UW","AKM_0228",1
"166","AKM_1171_UW","AKM_0229",1
"167","AKM_1172_UW","AKM_0230",1
"168","AKM_1161","AKM_0231",1
