"","id","label","color","generation","level"
"AKM_0219.AKM_0219","AKM_0219","Muhammad b. Umar","green","7",7
"AKM_0148.AKM_0148","AKM_0148","Zayd b. AKM_0144_IMAM4","green","4",4
"AKM_0221.AKM_0221","AKM_0221","Husayn b. Zayd","green","5",5
"AKM_0225.AKM_0225","AKM_0225","Yahya b. Husayn","green","6",6
"AKM_0231.AKM_0231","AKM_0231","Ahmad b. Yahya","green","7",7
"AKM_0232.AKM_0232","AKM_0232","Muhammad b. Yahya","green","7",7
"AKM_0233.AKM_0233","AKM_0233","Ali b. Yahya","green","7",7
"AKM_0234.AKM_0234","AKM_0234","Umar b. Yahya","green","7",7
"AKM_0235.AKM_0235","AKM_0235","Isa b. Yahya","green","7",7
"AKM_0222.AKM_0222","AKM_0222","Isa b. Zayd","green","5",5
"AKM_0249.AKM_0249","AKM_0249","Zayd b. Isa","green","6",6
"AKM_0236.AKM_0236","AKM_0236","Hasan b. Yahya","green","7",7
"AKM_0237.AKM_0237","AKM_0237","Hamza b. Yahya","green","7",7
"AKM_0239.AKM_0239","AKM_0239","Qasim b. Yahya","green","7",7
"AKM_0238.AKM_0238","AKM_0238","Yahya b. Yahya","green","7",7
"AKM_0226.AKM_0226","AKM_0226","Ali b. Husayn","green","6",6
"AKM_0262.AKM_0262","AKM_0262","Muhammad b. Ali","green","7",7
"AKM_0263.AKM_0263","AKM_0263","Zayd b. Ali","green","7",7
"AKM_0227.AKM_0227","AKM_0227","Muhammad b. Husayn","green","6",6
"AKM_0223.AKM_0223","AKM_0223","Muhammad b. Zayd","green","5",5
"AKM_0228.AKM_0228","AKM_0228","AbdAllah b. Husayn","green","6",6
"AKM_0229.AKM_0229","AKM_0229","Qasim b. Husayn","green","6",6
"AKM_0230.AKM_0230","AKM_0230","Husayn b. Husayn","green","6",6
"AKM_0277.AKM_0277","AKM_0277","Husayn b. Isa","green","6",6
"AKM_0278.AKM_0278","AKM_0278","Muhammad b. Isa","green","6",6
"AKM_0286.AKM_0286","AKM_0286","Muhammad b. Zayd","green","7",7
"AKM_0287.AKM_0287","AKM_0287","Jafar b. Muhammad","green","8",8
"NA.NA",NA,NA,"orange","6",6
"AKM_1164.AKM_1164","AKM_1164","Ulayya bt. Husayn","orange","7",7
"AKM_1165_UW.AKM_1165_UW","AKM_1165_UW","Umm_Walad","orange","4",4
"AKM_1166.AKM_1166","AKM_1166","Rayta bt. Abdallah","orange","4",4
"AKM_1167.AKM_1167","AKM_1167","Khadija bt. Umar","orange","5",5
"AKM_1168_UW.AKM_1168_UW","AKM_1168_UW","Umm_Walad","orange","5",5
"AKM_1169_UW.AKM_1169_UW","AKM_1169_UW","Umm_Walad","orange","5",5
